,measure_target
0,solar thermal electricity (ste)
1,resilience 
2,freight
3,lighting
4,engineering and metal industries
5,transport means
6,compressors
7,buildings
8,small and medium sized enterprises (smes)
9,power
10,energy consumption
11,industrial processes
12,industrial subsectors
13,oil)
14,geothermal
15,paper and board
16,land use change and forestry
17,nuclear
18,resilience
19,pumps
20,commercial
21,vehicle operation
22,hybrid vehicles
23,commercial services
24,non-road
25,refrigeration
26,energy
27,fuel
28,fossil fuels (coal
29,biofuels for transport
30,tidal
31,lead
32,heating (including district heating)
33,other
34,infrastructure
35,other sectors
36,timber and wood products
37,industrial
38,net zero energy
39,ventilation
40,trade-off
41,demand-side management
42,infrastructure and planning
43,carbon capture storage
44,all sectors
45,low energy
46,demand reduction
47,bioethanol
48,leather and clothing
49,drink and tobacco
50,construction
51,zinc and lead
52,standby
53,new buildings
54,tertiary
55,hydropower
56,biomass for heat
57,home entertainment
58,water
59,chp
60,liquefied petroleum gas
61,energy sector
62,industrial products
63,heavy-duty vehicles
64,heat
65,biodiesel
66,non-residential
67,distribution transformers
68,scope
69,storage
70,compressed natural gas
71,space cooling
72,mining
73,corporate fleet average
74,model
75,energy performance
76,eco-driving
77,waste management
78,technology focus
79,non ferrous metal
80,metal articles
81,energy supply
82,solar heat
83,prescriptive
84,cement
85,road
86,electricity
87,bioenergy
88,non metallic minerals
89,wave
90,mechanical engineering
91,renewable
92,energy frame
93,building code
94,all
95,passenger vehicles
96,boilers
97,diesel
98,residential
99,end-use services
100,building materials
101,zinc
102,co-firing with fossil fuels
103,onshore
104,framework
105,kitchens & laundry
106,vehicle type
107,solar thermal
108,electricity generation
109,industry
110,wind
111,passenger
112,ceramics
113,off-grid
114,multi-sectoral policy
115,solar
116,iron and steel
117,ground source heat pumps
118,small- and medium-sized enterprises (smes)
119,building type
120,individual vehicle
121,distribution
122,cross-industry
123,light-duty vehicles
124,gas
125,glass
126,energy efficiency
127,transport systems
128,existing buildings
129,biomass for power
130,renewable heat pumps
131,energy production
132,waste
133,computers
134,generation
135,cooling
136,fuel (conventional and alternative)
137,fossil fuel production
138,energy-intensive
139,offshore
140,multiple re sources
141,reference building
142,light manufacturing
143,chemical
144,ocean
145,land-use planning
146,residential appliances
147,public transport
148,cooking & laundry
149,intelligent transportation (for freight)
150,transport
151,cross-cutting
152,lamp technologies
153,conventional fuel
154,electric vehicles
155,aluminium
156,motors
157,in-car feedback
158,energy class
159,copper
160,appliances
161,alternative fuel
162,water heating
163,biofuel
164,industrial equipment
165,heating
166,agriculture
167,space heating
168,plug-in hybrid vehicles
169,heating ventilation and air conditioning (hvac)
170,tyres
171,energy management
172,transmission
173,solar photovoltaic
174,electrical engineering
175,energy utilities
176,utility
177,district heating and cooling
178,modal shift
179,fittings and controls
180,land use
181,non-engine components
182,adaptation
183,all-electric vehicles
184,data centers & ict
185,fuel efficiency standards
